Url,Headline,ProxyIP,Publication Date,Content,Image URL
https://www.90min.com/posts/inter-miami-friendly-lionel-messi-boyhood-side-newells-old-boys,Inter Miami to play friendly against Lionel Messi's boyhood side Newell's Old Boys,38.154.227.167,"Dec 20, 2023",Inter Miami will take on Lionel Messi's boyhood side Newell's Old Boys in a preseason friendly.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_2479,h_1394,x_0,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hj1zvg8ngrk9vhs5tp.jpg"
https://www.90min.com/posts/when-ac-milan-tried-failed-sign-lionel-messi,When AC Milan tried & failed to sign Lionel Messi,185.199.229.156,"Nov 23, 2023",Paolo Maldini reveals AC Milan's attempts to sign Lionel Messi.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_5326,h_2995,x_377,y_1004/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hfz13er9rnspjff9ez.jpg"
https://www.90min.com/posts/lionel-messi-when-is-next-match-argentina-inter-miami-star-november-23,Lionel Messi: When is the next match for Argentina & Inter Miami star?,185.199.229.156,"Nov 22, 2023",When Argentina and Inter Miami superstar Lionel Messi will next play after Argentina's victory over Brazil.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_7436,h_4182,x_0,y_775/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hfvt4q6brm467c1sp0.jpg"
https://www.90min.com/posts/lionel-messi-to-donate-some-of-world-cup-shirt-auction-proceeds-to-children-hospital,Lionel Messi to donate some of World Cup shirt auction proceeds to children's hospital,185.199.229.156,"Nov 21, 2023","Lionel Messi is expected to donate some of proceeds from auctioning several of his 2022 World Cup shirts to a children’s hospital in Barcelona, with the city still extremely dear to him despite taking his football career elsewhere in recent years.","https://images2.minutemediacdn.com/image/upload/c_crop,w_6000,h_3375,x_0,y_493/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hfs2jcvb81110fcq9r.jpg"
https://www.90min.com/posts/endrick-chooses-side-cristiano-ronaldo-vs-lionel-messi-debate,Endrick chooses side in Cristiano Ronaldo vs Lionel Messi debate,185.199.229.156,"Nov 20, 2023",Endrick picks between Cristiano Ronaldo & Lionel Messi ahead of his move to Real Madrid.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_3960,h_2227,x_240,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hfp7xags4a8f0kwmst.jpg"
https://www.90min.com/posts/steven-gerrard-reveals-change-his-pick-the-goat,Steven Gerrard reveals change to his pick for 'the GOAT',185.199.229.156,"Nov 19, 2023","Steven Gerrard has revealed which player of Cristiano Ronaldo and Lionel Messi he now calls 'the GOAT', changing his previous stance on the debate.","https://images2.minutemediacdn.com/image/upload/c_crop,w_1919,h_1079,x_0,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FvoltaxMediaLibrary%2Fmmsport%2F90min_en_international_web%2F01hfmg7xjpf7fm25fsvt.jpg"
https://www.90min.com/posts/kylian-mbappe-reaches-scoring-landmark-faster-cristiano-ronaldo-lionel-messi-neymar,"Kylian Mbappe reaches scoring landmark faster than Cristiano Ronaldo, Lionel Messi & Neymar",185.199.229.156,"Nov 19, 2023","How Paris Saint-Germain's Kylian Mbappe compares to Cristiano Ronaldo, Lionel Messi, Neymar and Erling Haaland after scoring 300 career goals.","https://images2.minutemediacdn.com/image/upload/c_crop,w_4000,h_2250,x_0,y_114/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hfkns5ecqxrsn46y7b.jpg"
https://www.90min.com/posts/zinedine-zidane-only-need-one-word-describe-lionel-messi,Zinedine Zidane: I only need one word to describe Lionel Messi,185.199.229.156,"Nov 10, 2023",Real Madrid legend Zinedine Zidane reveals what he thinks of Lionel Messi during a sit-down conversation at an adidas event in Miami. The two crossed paths multiple times in El Clasico though only once competed against each other on the pitch.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_5341,h_3004,x_351,y_828/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hewe5wkzdtknpgbwm6.jpg"
https://www.90min.com/posts/will-lionel-messi-record-eight-ballon-dor-trophies-ever-be-broken,Will Lionel Messi's record of eight Ballon d'Or trophies ever be broken?,185.199.229.156,"Nov 5, 2023","A look at whether Lionel Messi's record haul of Ballon d'Or trophies will ever be broken and whether the likes of Jude Bellingham, Erling Haaland or Kylian Mbappe can match that feat in the future","https://images2.minutemediacdn.com/image/upload/c_crop,w_1903,h_1070,x_6,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FvoltaxMediaLibrary%2Fmmsport%2F90min_en_international_web%2F01heg5vwv3b96jd0x87b.png"
https://www.90min.com/posts/lionel-messi-european-saudi-arabian-offers-inter-miami,Lionel Messi opens up on European and Saudi Arabian offers prior to Inter Miami move,185.199.229.156,"Nov 4, 2023",Lionel Messi has revealed that other European clubs besides former side Barcelona tried to sign him in the summer before he ultimately decided to join Inter Miami. The Argentine left PSG upon the expiry of his contract in June.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_2663,h_1497,x_0,y_23/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hecsdmxx6p4wwd13ep.jpg"
https://www.90min.com/posts/inter-miami-honor-lionel-messi-eighth-ballon-dor-friendly,Inter Miami to honor Lionel Messi's eighth Ballon d'Or with friendly,185.199.229.156,"Nov 4, 2023",Inter Miami take on NYCFC in a friendly to honor Lionel Messi winning the Ballon d'Or.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_5235,h_2944,x_0,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01heb3rqgkmx91r5vdk8.jpg"
https://www.90min.com/posts/the-early-contenders-to-win-ballon-dor-2024,The early contenders to win the Ballon d'Or 2024,185.199.229.156,"Nov 3, 2023","Jude Bellingham, Kylian Mbappe, Erling Haaland and Lionel Messi are among the early contenders to win the 2024 Ballon d'Or award.","https://images2.minutemediacdn.com/image/upload/c_crop,w_2559,h_1439,x_0,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FvoltaxMediaLibrary%2Fmmsport%2F90min_en_international_web%2F01he5k20mh868tm1c194.jpg"
https://www.90min.com/posts/football-manager-2024-predicts-next-ten-ballon-dor-winners-lionel-messi,Football Manager 2024 predicts the next ten Ballon d'Or winners after Lionel Messi,185.199.229.156,"Nov 2, 2023",The next 10 winners of the Ballon d'Or according to Football Manager 2024.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_2558,h_1438,x_417,y_941/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01he8cexxk1f5cx2xg7p.jpg"
https://www.90min.com/posts/lionel-messi-wins-2023-ballon-dor,Lionel Messi wins the 2023 Ballon d'Or,185.199.228.220,"Oct 30, 2023","Lionel Messi wins the 2023 Ballon d'Or, collecting the award for an unprecedented eighth time.","https://images2.minutemediacdn.com/image/upload/c_crop,w_2795,h_1572,x_0,y_93/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01he18dvmqvkqd23z710.jpg"
