Url,Headline,ProxyIP,Publication Date,Content,Image URL
https://www.bbc.co.uk/sport/football/68261461,Lionel Messi: Chinese officials call off Argentina games amid anger over star not playing - BBC Sport,45.94.47.66,10 February 2024,Chinese officials call off two Argentina friendlies after Lionel Messi failed to turn out for Inter Miami in an exhibition match in Hong Kong.,No Image Found
https://www.bbc.co.uk/news/world-asia-china-68236902,Lionel Messi: Chinese fury as superstar plays in Japan after missing Hong Kong match - BBC News,185.199.229.156,8 February,"The superstar sat out a Hong Kong match just days before, sparking anger and conspiracy theories.",https://ichef.bbci.co.uk/news/976/cpsprodpb/C34E/production/_132589994_gettyimages-1977641072.jpg
https://www.bbc.co.uk/sport/av/football/68218309,Lionel Messi: Inter Miami star defends Hong Kong friendly absence - BBC Sport,188.74.210.21,6 February,Argentina star Lionel Messi says it was a shame he could not play in Inter Miami’s friendly against a League XI in Hong Kong.,https://ichef.bbci.co.uk/images/ic/400xn/p0h99wc7.jpg
https://www.bbc.co.uk/sport/football/68213901,Lionel Messi defends injury absence in Hong Kong friendly after fans boo - BBC Sport,185.199.229.156,6 February 2024,"Forward Lionel Messi says ""I always want to play"" after fans booed Inter Miami because he missed a pre-season friendly in Hong Kong.",No Image Found
https://www.bbc.co.uk/sport/football/68199137,Lionel Messi: Fans angered as World Cup winner fails to play in Hong Kong - BBC Sport,188.74.210.21,5 February 2024,Angry fans in Hong Kong boo Inter Miami during a pre-season friendly game as World Cup winner Lionel Messi is left on the bench.,No Image Found
