Url,Headline,ProxyIP,Publication Date,Content,Image URL
https://timesofindia.indiatimes.com/sports/football/top-stories/east-bengal-rope-in-victor-vazquez-lionel-messis-ex-teammate-at-barcelona/articleshow/107297777.cms," East Bengal rope in Victor Vazquez, Lionel Messi’s ex-teammate at Barcelona ",188.74.183.10,"Jan 31, 2024"," East Bengal FC on Wednesday announced the signing of experienced Spanish attacking midfielder Victor Vazquez for the remainder of the current Indian Super League (ISL) season. A former teammate of Lionel Messi’s at FC Barcelona, Vasquez also plied his trade for clubs like Club Brugge, Toronto FC and Los Angeles Galaxy. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-and-luis-suarez-on-scoresheet-but-inter-miami-fall-43-to-saudi-club-al-hilal/articleshow/107241276.cms, Lionel Messi and Luis Suarez on scoresheet but Inter Miami fall 4-3 to Saudi club Al Hilal ,188.74.183.10,"Jan 30, 2024"," Inter Miami lost 4-3 to Al Hilal in a friendly, with goals from Luis Suarez and Lionel Messi. Al Hilal secured the win with a late header from Malcom. Serbian international Aleksandar Mitrovic scored the opening goal, while Abdullah Al-Hamdan and Brazilian forward Michael also found the net for Al Hilal. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-shines-in-mls-preseason-game-for-inter-miami/articleshow/107071810.cms," Lionel Messi makes MLS preseason debut, but Inter Miami fall to FC Dallas ",188.74.183.10,"Jan 23, 2024"," Lionel Messi displayed his skills in an MLS preseason game for Inter Miami against FC Dallas at the Cotton Bowl. Despite his efforts, Inter Miami suffered a 1-0 defeat. Messi had three shots on goal before leaving the game in the second half. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-is-turning-mls-into-a-league-of-old-men/articleshow/106995197.cms, Lionel Messi is turning MLS into a league of old men ,188.74.183.10,"Jan 19, 2024"," When Lionel Messi announced he was joining Inter Miami last summer, the administrators of US soccer hoped his glamor and skills would attract more fans and revenues to Major League Soccer. American fans, meanwhile, hoped his prestige would lure more world-class talent to the league. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-named-fifas-best-mens-player-for-2023-aitana-bonmati-shines-in-womens-category/articleshow/106883256.cms, Lionel Messi named FIFA's best men's player for 2023; Aitana Bonmati shines in women's category ,188.74.183.10,"Jan 16, 2024"," Lionel Messi was crowned FIFA's best men's player for 2023, a controversial decision at the London ceremony. Despite facing tough competition, Messi's selection stirred debate. The award night was a triumph for Manchester City. The award, covering the period from Messi's World Cup triumph with Argentina to August 2023, raised eyebrows due to his subdued end at Paris Saint-Germain and move to MLS side Inter Miami. However, Messi helped Inter Miami win the Leagues Cup in August. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/jerseys-worn-by-lionel-messi-in-argentinas-world-cup-triumph-sell-for-7-8-million/articleshow/106007486.cms, Jerseys worn by Lionel Messi in Argentina's World Cup triumph sell for $7.8 million ,188.74.183.10,"Dec 15, 2023"," Auction house Sotheby's said the price for the set of shirts shattered the previous record for the sale of an item associated with the player, making it the most valuable sporting memorabilia auctioned this year. The collection included the shirt Messi wore during the first half of the final against France in Qatar. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/messi-bonmati-nominated-for-fifa-best-player-awards/articleshow/106000991.cms," Messi, Bonmati nominated for FIFA best player awards ",188.74.183.10,"Dec 14, 2023", World football's governing body on Thursday named Lionel Messi and Aitana Bonmati as finalists for the FIFA best players of the year awards. ,https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-named-times-athlete-of-the-year-for-2023/articleshow/105776070.cms, Lionel Messi named Time's Athlete of the Year for 2023 ,188.74.183.10,"Dec 06, 2023"," Lionel Messi, captain of Argentina, has been named Time magazine's Athlete of the Year for 2023. Messi won a record-breaking eighth Ballon d'Or and raised awareness of the sport in the US by joining Inter Miami. He led Argentina to victory in the World Cup final, their first in 36 years. Messi's move to Miami created a stir, with fans buying his official pink Inter Miami shirt and ticket prices increasing. His impact turned the US into a soccer country, according to Time. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messis-inter-miami-to-face-cristiano-ronaldos-al-nassr-in-riyadh-season-cup/articleshow/105917125.cms, Lionel Messi's Inter Miami to face Cristiano Ronaldo's Al-Nassr in Riyadh Season Cup ,188.74.183.10,"Dec 12, 2023"," Inter Miami, led by Lionel Messi, is set to play in a series of matches in Saudi Arabia, including a showdown against Cristiano Ronaldo's Al-Nassr, as part of their inaugural international tour. The Riyadh Season Cup, featuring a three-team round-robin tournament, will see Miami face off against Al-Hilal and Al-Nassr. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/cricket/news/watch-gautam-gambhir-chooses-this-footballer-over-ronaldo-and-messi-in-viral-video/articleshow/105890465.cms, Watch: Gautam Gambhir chooses this footballer over Ronaldo and Messi in viral video ,188.74.183.10,"Dec 11, 2023"," Former India cricketer Gautam Gambhir surprised many with a viral video where he chose between Cristiano Ronaldo and Lionel Messi, but chose Marcus Rashford. This unexpected choice sparked discussions on social media and gained attention beyond cricket, as Gambhir's candid remarks sparked discussions beyond the cricketing world. ",https://static.toiimg.com/photo/25581306.cms
